🇨🇳｜抖音热舞,#genre#
抖音姐姐热热,http://epg.112114.xyz/douyu/8901218
抖音姐姐热舞,http://epg.112114.xyz/douyu/8759139
抖音姐姐舞舞,http://epg.112114.xyz/douyu/7971641

🇨🇳央视-频道,#genre#
CCTV1 6M1080,http://vl15191373.imwork.net:8880/udp/239.93.0.184:5140
CCTV1 6M1080,http://vl15191373.imwork.net:8880/udp/239.93.0.69:5140
CCTV1 Max7M1080,http://vl15191373.imwork.net:8880/udp/239.93.1.152:5140
CCTV1 Max7M1080,http://vl15191373.imwork.net:8880/udp/239.93.1.174:5140
CCTV2 6M1080,http://vl15191373.imwork.net:8880/udp/239.93.1.160:6000
CCTV2 6M1080,http://vl15191373.imwork.net:8880/udp/239.93.1.23:6000
CCTV3 8M1080,http://vl15191373.imwork.net:8880/udp/239.93.1.11:2223
CCTV3 Max7M1080,http://vl15191373.imwork.net:8880/udp/239.93.1.150:2223
CCTV4 6M1080,http://vl15191373.imwork.net:8880/udp/239.93.1.105:5140
CCTV4 Max6M1080,http://vl15191373.imwork.net:8880/udp/239.93.1.192:5140
CCTV5 8M1080,http://vl15191373.imwork.net:8880/udp/239.93.1.100:2224
CCTV5 8M1080,http://vl15191373.imwork.net:8880/udp/239.93.1.12:2224
CCTV5+ 8M1080,http://vl15191373.imwork.net:8880/udp/239.93.1.36:8004
CCTV5+ Max8M1080,http://vl15191373.imwork.net:8880/udp/239.93.1.173:8004
CCTV6 8M1080,http://vl15191373.imwork.net:8880/udp/239.93.1.13:2226
CCTV6 8M1080,http://vl15191373.imwork.net:8880/udp/239.93.1.155:2226
CCTV7 8M1080,http://vl15191373.imwork.net:8880/udp/239.93.1.67:5140
CCTV7 Max6M1080,http://vl15191373.imwork.net:8880/udp/239.93.1.193:5140
CCTV8 8M1080,http://vl15191373.imwork.net:8880/udp/239.93.1.14:2225
CCTV8 8M1080,http://vl15191373.imwork.net:8880/udp/239.93.1.162:2225
CCTV9 6M1080,http://vl15191373.imwork.net:8880/udp/239.93.1.24:5140
CCTV9 Max6M1080,http://vl15191373.imwork.net:8880/udp/239.93.1.163:5140
CCTV10 8M1080,http://vl15191373.imwork.net:8880/udp/239.93.1.28:5140
CCTV10 Max6M1080,http://vl15191373.imwork.net:8880/udp/239.93.1.164:5140
CCTV11 8M1080,http://vl15191373.imwork.net:8880/udp/239.93.0.102:5140
CCTV12 8M1080,http://vl15191373.imwork.net:8880/udp/239.93.1.30:8124
CCTV12 Max6M1080,http://vl15191373.imwork.net:8880/udp/239.93.1.165:8124
CCTV14 6M1080,http://vl15191373.imwork.net:8880/udp/239.93.1.29:6000
CCTV14 Max6M1080,http://vl15191373.imwork.net:8880/udp/239.93.1.194:6000
CCTV15 8M1080,http://vl15191373.imwork.net:8880/udp/239.93.0.103:5140
CCTV17 6M1080,http://vl15191373.imwork.net:8880/udp/239.93.0.92:5140

🇨🇳卫视-频道,#genre#

东南卫视 6M1080,http://vl15191373.imwork.net:8880/udp/239.93.0.42:5140
东南卫视 Max6M1080,http://vl15191373.imwork.net:8880/udp/239.93.0.43:5140
